wl a b c rmse
400 0.008768611 2.746978052 0 0
410 0.008203692 2.404430427 0 0
420 0.007839179 2.195499853 1.4e-8 2e-9
430 0.007658687 2.095567291 7e-9 1e-9
440 0.007548728 2.035827557 1e-9 0
450 0.007481424 1.999686925 0 0
460 0.007456195 1.986222957 0 0
470 0.007412333 1.962923602 0 0
480 0.007374791 1.943090352 0 0
490 0.007227421 1.86620863 0 0
500 0.00707704 1.789356096 0 0
510 0.006993564 1.747393126 0 0
520 0.006925974 1.713780669 0 0
530 0.006881734 1.691956903 0 0
540 0.006892319 1.697165736 1e-9 0
550 0.006830748 1.666978452 1e-9 0
560 0.006828955 1.666103392 1e-9 0
570 0.006819814 1.661646108 1e-9 0
580 0.006788163 1.646258189 1e-9 0
590 0.006705079 1.606205761 1e-9 0
600 0.006590321 1.551695775 1e-9 0
610 0.006464362 1.49294849 1e-9 0
620 0.006357214 1.443866778 0 0
630 0.006194504 1.370902625 0 0
640 0.006050533 1.30791881 0 0
650 0.005954778 1.26684833 0 0
660 0.005882136 1.236128598 0 0
670 0.005783632 1.195074267 0 0
680 0.005691934 1.157479311 0 0
690 0.005660915 1.144897882 0 0
700 0.005593872 1.117940147 0 0
710 0.005568885 1.10797532 0 0
720 0.005524802 1.090503375 0 0
730 0.005502664 1.081781596 0 0
740 0.005480541 1.073100534 0 0
750 0.00543958 1.057120002 0 0
760 0.005424357 1.051211374 0 0
770 0.00540607 1.044135529 0 0
780 0.005375074 1.03219659 0 0
790 0.005383747 1.035530303 0 0
800 0.005351428 1.023134998 0 0
810 0.005278391 0.995397607 0 0
820 0.005270873 0.992564433 0 0
830 0.005202847 0.967109666 0 0
840 0.005167561 0.954036139 0 0
850 0.005092091 0.926373084 0 0
860 0.005058273 0.914109033 0 0
870 0.004985068 0.887841938 0 0
880 0.004947312 0.874444312 0 0
890 0.004900882 0.858108214 0 0
900 0.004833538 0.834687382 0 0
910 0.00480771 0.825791052 0 0
920 0.004758699 0.809040072 0 0
930 0.004743604 0.80391539 0 0
940 0.004698987 0.788863932 0 0
950 0.00467564 0.781044454 0 0
960 0.004716385 0.794716106 0 0
970 0.004647128 0.771547831 0 0
980 0.004618332 0.7620156 0 0
990 0.004599657 0.755865408 0 0
1000 0.004567017 0.745176078 0 0
1010 0.004541756 0.736955422 0 0
1020 0.004519918 0.729885433 0 0
1030 0.004515878 0.728581288 0 0
1040 0.004459802 0.710599219 0 0
1050 0.004492278 0.720986021 0 0
1060 0.004429945 0.701116709 0 0
1070 0.004400537 0.691838754 0 0
1080 0.004413442 0.695902578 0 0
1090 0.004389379 0.688334824 0 0
1100 0.004337042 0.6720178 0 0
1110 0.00433187 0.670415948 0 0
1120 0.004318912 0.666409641 9e-9 1e-9
1130 0.00430425 0.661892695 8e-9 1e-9
1140 0.004236336 0.641171784 0 0
1150 0.004250588 0.645492826 1e-9 0
1160 0.004219363 0.636044135 0 0
1170 0.004171973 0.621837037 0 0
1180 0.004131455 0.609817233 0 0
1190 0.004110188 0.603555018 0 0
1200 0.004105212 0.602094593 0 0
1210 0.004040064 0.583136198 0 0
1220 0.004022717 0.578126075 3.7e-8 1.3e-8
1230 0.003982953 0.56675532 2.9e-8 1e-8
1240 0.003981502 0.566342673 2.9e-8 1e-8
1250 0.00393513 0.553227717 2.7e-8 1e-8
1260 0.003884488 0.539078173 3.3e-8 1.1e-8
1270 0.003838637 0.526423217 4.6e-8 1.3e-8
1280 0.003813173 0.519468774 2.3e-8 8e-9
1290 0.003795812 0.514750483 2e-8 7e-9
1300 0.003744468 0.500918652 2.1e-8 7e-9
1310 0.003703304 0.489963254 2.9e-8 9e-9
1320 0.003648417 0.47554442 4e-8 1e-8
1330 0.003623747 0.469110356 1.48e-7 2.4e-8
1340 0.003597129 0.462280398 0 0
1350 0.003549156 0.450032366 0 0
1360 0.169387962 0.069079335 1.68e-7 0.08717576
1370 0.169374875 0.069037654 8.12e-7 0.087109989
1380 0.169386027 0.069049137 1.358e-6 0.087279311
1390 0.002841909 0.287045205 6.80408e-4 3e-9
1400 0.002864012 0.291577321 5.9716e-4 2e-9
1410 0.003196608 0.364195355 1.64365e-4 6e-9
1420 0.003298079 0.388611539 0 0
1430 0.003251881 0.377799957 6e-9 0
1440 0.003216331 0.369584584 9e-9 1e-9
1450 0.003172417 0.359562307 0 0
1460 0.003141779 0.3526327 8.8e-8 1e-8
1470 0.003100285 0.343397181 0 0
1480 0.003083464 0.339661608 1.01e-7 1.1e-8
1490 0.003038607 0.329867358 9e-9 2e-9
1500 0.003018024 0.325415437 2e-9 1e-9
1510 0.002964582 0.313993052 1e-9 0
1520 0.002943917 0.309631032 0 0
1530 0.002916741 0.303940877 0 0
1540 0.002882819 0.296912264 0 0
1550 0.002847083 0.289596807 0 0
1560 0.002825503 0.28522331 0 0
1570 0.002807996 0.281699649 0 0
1580 0.002762282 0.272602307 0 0
1590 0.002732117 0.266680959 0 0
1600 0.002727714 0.265822233 0 0
1610 0.002704206 0.261260149 0 0
1620 0.002664478 0.253640084 0 0
1630 0.002642368 0.249448012 0 0
1640 0.002623228 0.245847439 0 0
1650 0.002594113 0.240420491 0 0
1660 0.002569655 0.23590823 0 0
